run_id,timestamp,island_id,from_score,to_score,global_best
20260327_233407,2026-03-27T23:34:07,0,,-212.0,-212.0
20260327_233407,2026-03-27T23:34:07,1,,-212.0,-212.0
20260327_233407,2026-03-27T23:34:07,2,,-212.0,-212.0
20260327_233407,2026-03-27T23:34:07,3,,-212.0,-212.0
20260327_233407,2026-03-27T23:34:07,4,,-212.0,-212.0
20260327_233407,2026-03-27T23:34:07,5,,-212.0,-212.0
20260327_233407,2026-03-27T23:34:07,6,,-212.0,-212.0
20260327_233407,2026-03-27T23:34:07,7,,-212.0,-212.0
20260327_233407,2026-03-27T23:34:07,8,,-212.0,-212.0
20260327_233407,2026-03-27T23:34:07,9,,-212.0,-212.0
20260327_233407,2026-03-27T23:44:41,4,-212.0,-211.9,-211.9
20260327_233407,2026-03-27T23:48:13,4,-211.9,-211.85,-211.85
20260327_233407,2026-03-27T23:52:45,3,-212.0,-211.9,-211.85
20260327_233407,2026-03-27T23:59:16,6,-212.0,-211.55,-211.55
20260327_233407,2026-03-28T00:01:27,3,-211.9,-211.75,-211.55
20260327_233407,2026-03-28T00:09:55,9,-212.0,-211.95,-211.55
20260327_233407,2026-03-28T00:12:00,9,-211.95,-211.8,-211.55
20260327_233407,2026-03-28T00:17:13,0,-212.0,-211.75,-211.55
20260327_233407,2026-03-28T00:20:20,9,-211.8,-211.7,-211.55
20260327_233407,2026-03-28T00:24:52,3,-211.75,-211.15,-211.15
20260327_233407,2026-03-28T00:38:57,9,-211.7,-211.55,-211.15
20260327_233407,2026-03-28T00:43:39,9,-211.55,-211.35,-211.15
20260327_233407,2026-03-28T00:45:02,9,-211.35,-211.3,-211.15
20260327_233407,2026-03-28T00:52:56,2,-212.0,-211.9,-211.15
20260327_233407,2026-03-28T00:53:34,9,-211.3,-211.2,-211.15
20260327_233407,2026-03-28T00:55:34,8,-212.0,-211.55,-211.15
20260327_233407,2026-03-28T01:01:06,8,-211.55,-211.5,-211.15
20260327_233407,2026-03-28T01:02:47,8,-211.5,-211.3,-211.15
20260327_233407,2026-03-28T01:09:41,8,-211.3,-211.2,-211.15
20260327_233407,2026-03-28T01:10:21,5,-212.0,-211.95,-211.15
20260327_233407,2026-03-28T01:10:54,5,-211.95,-211.85,-211.15
20260327_233407,2026-03-28T01:19:39,9,-211.2,-211.15,-211.15
20260327_233407,2026-03-28T01:33:21,8,-211.2,-211.15,-211.15
20260327_233407,2026-03-28T01:46:37,1,-212.0,-211.95,-211.15
20260327_233407,2026-03-28T01:46:37,1,-211.95,-211.9,-211.15
20260327_233407,2026-03-28T02:04:48,1,-211.9,-211.85,-211.15
20260327_233407,2026-03-28T02:09:26,0,-211.75,-210.1,-210.1
20260327_233407,2026-03-28T02:09:54,5,-211.85,-211.8,-210.1
20260327_233407,2026-03-28T02:15:36,9,-211.15,-211.1,-210.1
20260327_233407,2026-03-28T02:57:19,7,-212.0,-211.95,-210.1
20260327_233407,2026-03-28T03:10:57,5,-211.8,-211.75,-210.1
20260327_233407,2026-03-28T03:17:42,2,-211.9,-211.35,-210.1
20260327_233407,2026-03-28T03:19:08,2,-211.35,-211.2,-210.1
20260327_233407,2026-03-28T03:27:49,5,-211.75,-211.6,-210.1
20260327_233407,2026-03-28T03:32:16,5,-211.6,-211.3,-210.1
20260327_233407,2026-03-28T03:34:13,7,,-211.15,-210.1
20260327_233407,2026-03-28T03:34:13,1,,-211.1,-210.1
20260327_233407,2026-03-28T03:34:13,4,,-211.2,-210.1
20260327_233407,2026-03-28T03:34:13,6,,-210.1,-210.1
20260327_233407,2026-03-28T03:34:13,5,,-211.1,-210.1
20260327_233407,2026-03-28T03:42:50,2,-211.2,-211.15,-210.1
20260327_233407,2026-03-28T03:55:02,6,-210.1,-210.0,-210.0
20260327_233407,2026-03-28T03:55:02,6,-210.0,-208.7,-208.7
20260327_233407,2026-03-28T03:59:48,2,-211.15,-211.1,-208.7
20260327_233407,2026-03-28T04:07:29,4,-211.2,-211.05,-208.7
20260327_233407,2026-03-28T04:10:03,0,-210.1,-208.7,-208.7
20260327_233407,2026-03-28T07:34:27,8,,-211.05,-208.7
20260327_233407,2026-03-28T07:34:27,3,,-211.1,-208.7
20260327_233407,2026-03-28T07:34:27,7,,-208.7,-208.7
20260327_233407,2026-03-28T07:34:27,2,,-208.7,-208.7
20260327_233407,2026-03-28T07:34:27,1,,-211.1,-208.7
20260327_233407,2026-03-28T08:10:35,2,-208.7,-208.55,-208.55
20260327_233407,2026-03-28T09:42:48,0,-208.7,-208.6,-208.55
20260327_233407,2026-03-28T10:16:03,3,-211.1,-211.0,-208.55
